ChildName,ParentName,ChildAggregateId
Bell Tower 1,Tri City Rentals Parent,1|50894|50511|95021|50883|50753
Crescent Village,Tri City Rentals Parent,1|50894|50511|95021|50734
Emerson Square,Tri City Rentals Parent,1|50894|27080|94268|9623
Fairwood II,Tri City Rentals Parent,1|50894|50511|95021|50886|50719
French Court,Tri City Rentals Parent,1|50894|50511|95021|50732
Imperial South,Tri City Rentals Parent,1|50894|50511|95021|50733
New Troy,Tri City Rentals Parent,1|50894|50511|95021|50884|50727
Quakertowne,Tri City Rentals Parent,1|50894|50511|95021|50723
Regency Park,Tri City Rentals Parent,1|50894|50511|95021|50737
Schuyler Place,Tri City Rentals Parent,1|50894|50511|95021|59745
Somerset,Tri City Rentals Parent,1|50894|50511|103067
Stonehenge,Tri City Rentals Parent,1|50894|50511|95021|50745
Tri City Rentals Parent,Tri City Rentals Parent,1|50894
Troy Gardens Region,Tri City Rentals Parent,1|50894|50511|95021|50884
Armor Heights,Tri City Rentals Parent,1|50894|50511|95021|50748
Brunswick Apartments,Tri City Rentals Parent,1|50894|50511|95021|50885|50724
Capitol View,Tri City Rentals Parent,1|50894|50511|95021|50721
Fairwood,Tri City Rentals Parent,1|50894|50511|95021|50886|50725
Park Ridge,Tri City Rentals Parent,1|50894|50511|95021|50718
Regency Park North,Tri City Rentals Parent,1|50894|50511|95021|50741
Rustic Village Apts,Tri City Rentals Parent,1|50894|27080|59855
Sandalwood Apartments,Tri City Rentals Parent,1|50894|118701|118704
The Glen at Sugar Hill,Tri City Rentals Parent,1|50894|50511|95021|50885|50736
Tri City Rentals Yardi,Tri City Rentals Parent,1|50894|50511
Williamsburg,Tri City Rentals Parent,1|50894|50511|95021|50744
Woodgate Place,Tri City Rentals Parent,1|50894|27080|94268|9679
1600 Elmwood Ave,Tri City Rentals Parent,1|50894|27080|94268|9680
Brook Hill Village,Tri City Rentals Parent,1|50894|27080|94268|9669
Burdett   Nyroy,Tri City Rentals Parent,1|50894|50511|95021|50884|50746
Country Club,Tri City Rentals Parent,1|50894|50511|95021|50739
Court Royale,Tri City Rentals Parent,1|50894|50511|95021|50749
Harmony Hill,Tri City Rentals Parent,1|50894|50511|95021|50717
Joint Properties,Tri City Rentals Parent,1|50894|50511|92938
Menands,Tri City Rentals Parent,1|50894|50511|95021|50726
Northwoods Apartments,Tri City Rentals Parent,1|50894|118701|118702
Paradise Lane Apartment,Tri City Rentals Parent,1|50894|27080|94269|9625
Rolling Ridge,Tri City Rentals Parent,1|50894|50511|95021|50751
The Woods II,Tri City Rentals Parent,1|50894|50511|95021|50885|86150
Tivoli Park,Tri City Rentals Parent,1|50894|50511|95021|50728
Towers of Colonie,Tri City Rentals Parent,1|50894|50511|92938|50887
Towne Towers,Tri City Rentals Parent,1|50894|50511|92938|50715
Tri City Rentals Conversion,Tri City Rentals Parent,1|50894|27080
Tri City Rentals Rustic,Tri City Rentals Parent,1|50894|59854
Troy Gardens Property,Tri City Rentals Parent,1|50894|50511|95021|50884|50731
Village Green,Tri City Rentals Parent,1|50894|50511|95021|50730
Woodlake,Tri City Rentals Parent,1|50894|50511|95021|50740
1600 East Ave,Tri City Rentals Parent,1|50894|27080|94268|9582
Apartments at Brunswick,Tri City Rentals Parent,1|50894|50511|95021|50885
Bell Tower 2,Tri City Rentals Parent,1|50894|50511|95021|50883|50752
Bell Towers,Tri City Rentals Parent,1|50894|50511|95021|50883
BigTree,Tri City Rentals Parent,1|50894|50511|95021|50750
Clover Park,Tri City Rentals Parent,1|50894|50511|95021|50729
Fairwood,Tri City Rentals Parent,1|50894|50511|95021|50886
Fenimore Trace,Tri City Rentals Parent,1|50894|50511|92938|50716
Hallmark,Tri City Rentals Parent,1|50894|50511|95021|50747
Hampshire House,Tri City Rentals Parent,1|50894|50511|95021|50742
Joint Properties,Tri City Rentals Parent,1|50894|27080|94269
Raintree Island,Tri City Rentals Parent,1|50894|27080|94269|9624
Regency Court,Tri City Rentals Parent,1|50894|50511|95021|50720
Sheridan Village,Tri City Rentals Parent,1|50894|50511|95021|50735
Somerset Apartments,Tri City Rentals Parent,1|50894|50511|103067|50743
Spanish Gardens,Tri City Rentals Parent,1|50894|27080|94268|9725
Sugar Hill Apartments,Tri City Rentals Parent,1|50894|50511|95021|50885|50738
Sugar Hill Storage Units,Tri City Rentals Parent,1|50894|50511|95021|50885|66837
TCR Main Properties,Tri City Rentals Parent,1|50894|50511|95021
TCR Properties,Tri City Rentals Parent,1|50894|27080|94268
The Meadows Apartments,Tri City Rentals Parent,1|50894|27080|94268|9671
The Woods I,Tri City Rentals Parent,1|50894|50511|95021|50885|50722
The Woods Storage Units,Tri City Rentals Parent,1|50894|50511|95021|50885|87545
Towers   Building I   II,Tri City Rentals Parent,1|50894|50511|92938|50887|50714
Towers   Building III,Tri City Rentals Parent,1|50894|50511|92938|50887|50713
Tri City Rentals Florida,Tri City Rentals Parent,1|50894|118701
Windgate Apartments,Tri City Rentals Parent,1|50894|118701|118703
